Company,Position,Min Salary,Max Salary
Ibility,Biomedical Clinical Engineer Senior,0,0
Fullscript,Staff Machine Learning Engineer,0,0
MoonPay,Cloud Security Engineer,0,0
MoonPay,Senior Security Engineer Automation,0,0
SmithRx,Staff Software Engineer Platform,0,0
SmithRx,Senior Staff Data Engineer,0,0
Stone,Engenharia Software Engineer III Golang Elixir,0,0
Ivanti,Senior Software Engineer C++ Windows SDK WIN32 API,0,0
Arbiter AI,Senior Backend Engineer Integrations,0,0
Consumer Edge,VP Data Engineering,0,0
Waymark,Principal Data Engineer,0,0
MinIO,Site Reliability Engineer US West,0,0
Copia Automation,Lead Security Engineer,0,0
Skillcloud HCM,Fire Protection Engineer,0,0
Vannevar,Senior Frontend Engineer Frontend Platform,0,0
Turing,Research Engineer,0,0
Callibrity,Lead Front End Software Engineer,0,0
NerdWallet,Security Engineer II Canada,123000,188000
Automattic Careers,Happiness Engineer Customer Support & Success,0,0
Veda Tech Labs,Smart Contract Engineer SVM,0,0
Parloa,Forward Deployed Engineer VoIP,0,0
Monzo,Senior Staff Software Engineer AI Customer Operations,135000,184000
TestGorilla,Go To Market Engineer,60000,80000
Faire,Senior Staff Engineer Product Security,0,0
Attentive,Principal Machine Learning Engineer,0,0
Topstep,Junior Manual QA Engineer,0,0
OpenAI,Software Engineer Reliability,230000,490000
